100479;51842
010048;4557
100480;51843
100481;51919
100482;51920
100483;51921
100484;51922
100485;51923
100486;51924
100487;52010
100488;52011
100489;52012
010049;4558
100490;52013
100492;52014
100494;52094
100495;52095
100496;52096
100497;52097
001005;440
100500;52098
100501;50663
100502;50664
100503;50665
100504;50666
100505;50667
100506;50668
100507;50748
100508;83995
100509;50749
010051;4562
100510;50750
100511;50751
100512;50752
100513;50753
100514;50754
100515;50839
100516;50840
100517;50841
100518;50842
100519;50843
100520;50844
100521;50845
100522;50930
100523;50931
100524;50932
100525;50933
100526;50934
100527;50935
100528;51019
100529;51020
100530;51021
100531;51022
